sender,subject,body,received_at
maria.k@example.com,Can't log in,"I get invalid credentials every time I try.",2026-08-19 07:12:00
j.torres@brightpath.io,,"Charged twice this month for the Pro plan.",2026-08-19 08:03:00
priya.n@northline.co,Quick one,"ok",2026-08-19 10:05:00
sam.okafor@gmail.com,Export broken,"Export to CSV comes back empty every time.",19/08/2026 11:47
dev@quickstartapp,API errors,"Getting 500s on every /orders call for 20 minutes.",2026-08-19 11:47:00
lena.h@studiofive.design,Annual billing discount,"   ",2026-08-19 12:30:00
t.becker@freelance.net,Thanks for the help,"Support resolved my issue fast, appreciate it.",2026-08-19 10:22:00
info@shopwave.store,Billing address update,"We moved offices, need billing address updated.",
random123mailinator.com,asdkjaslkdj,"asldkjaslkdjaslkdj",2026-08-19 13:02:00
noreply@dealzhub.biz,Reward,"You have been selected for a free gift card.",2026-08-19 08:15:00
